recipes_original_name,category
Sambal Goreng Kering,LAUK PAUK GORENGAN
Tempe,LAUK PAUK GORENGAN
Seng Geseng,LAUK PAUK GORENGAN
Serundeng,LAUK PAUK GORENGAN
Serundeng Ikan Mudjair,LAUK PAUK GORENGAN
Serundeng Ikan Teri,LAUK PAUK GORENGAN
Serundeng Penganten,LAUK PAUK GORENGAN
Sinore,LAUK PAUK GORENGAN
Tahu Batjem Goreng,LAUK PAUK GORENGAN
Tahu Berontak,LAUK PAUK GORENGAN
Tahu Dadar,LAUK PAUK GORENGAN
Tahu Goling,LAUK PAUK GORENGAN
Tahu Goreng,LAUK PAUK GORENGAN
Tahu Goreng Bertepung,LAUK PAUK GORENGAN
Tahu Kering,LAUK PAUK GORENGAN
Tahu Ketjap,LAUK PAUK GORENGAN
Tahu Krida,LAUK PAUK GORENGAN
Tahu Lengko,LAUK PAUK GORENGAN
Tahu Masak Bawang,LAUK PAUK GORENGAN
Tahu Pong,LAUK PAUK GORENGAN
Tahu Soun,LAUK PAUK GORENGAN
Tahu Telur,LAUK PAUK GORENGAN
Tahu Tempe dan Daging Goreng,LAUK PAUK GORENGAN
Taotjo Ikan,LAUK PAUK GORENGAN
Tempe Batjem,LAUK PAUK GORENGAN
Tempe Goreng,LAUK PAUK GORENGAN
Tempe Kemul,LAUK PAUK GORENGAN
Telur Mata Sapi,LAUK PAUK GORENGAN
Tepleng Ikan Kering,LAUK PAUK GORENGAN
Teri Goreng,LAUK PAUK GORENGAN
Tjulo Tjulo,LAUK PAUK GORENGAN
Udang Isi,LAUK PAUK GORENGAN
Udang Wotjap,LAUK PAUK GORENGAN
Ujah Goreng,LAUK PAUK GORENGAN
Urutan,LAUK PAUK GORENGAN
Ajam Kodok,LAUK PAUK BAKAR
Ajam Panggang Sere Limo,LAUK PAUK BAKAR
Ajam Panggang Ketjap,LAUK PAUK BAKAR
Ajam Panggang Klaten,LAUK PAUK BAKAR
Ajam Panggang Petjel,LAUK PAUK BAKAR
Ajam Sapit,LAUK PAUK BAKAR
Bandasi,LAUK PAUK BAKAR
Bandeng Bumbu Rudjak,LAUK PAUK BAKAR
Bebek Asap,LAUK PAUK BAKAR
Bia,LAUK PAUK BAKAR
Daging Bakar,LAUK PAUK BAKAR
Djagung Djamur Padi Bakar,LAUK PAUK BAKAR
Djagung Udang Panggang,LAUK PAUK BAKAR
Gedjos Ontjom,LAUK PAUK BAKAR
Gembrot Sembukan,LAUK PAUK BAKAR
Guling,LAUK PAUK BAKAR
Ikan Bakar,LAUK PAUK BAKAR
Ikan Bungkus,LAUK PAUK BAKAR
Ikan Mas dalam Bambu,LAUK PAUK BAKAR
Ikan Pindang Goreng,LAUK PAUK BAKAR
Ikan Pepes,LAUK PAUK BAKAR
Ikan Woku,LAUK PAUK BAKAR
Ine Avau' Au,LAUK PAUK BAKAR
Ituwu,LAUK PAUK BAKAR
Jok,LAUK PAUK BAKAR
Karmanatji,LAUK PAUK BAKAR
Komoh,LAUK PAUK BAKAR
Langga Roko,LAUK PAUK BAKAR
Linting Pepes,LAUK PAUK BAKAR
Napinadar,LAUK PAUK BAKAR
Natinombur,LAUK PAUK BAKAR
Palai Badar Basah,LAUK PAUK BAKAR
Panggang Bandeng,LAUK PAUK BAKAR
Panggang Bebek Bumbu Rudjak,LAUK PAUK BAKAR
Panggang Belanak Bumbu Rudjak,LAUK PAUK BAKAR
Panggang Kalak,LAUK PAUK BAKAR
Panggang Udang,LAUK PAUK BAKAR
Patjua,LAUK PAUK BAKAR
Pelalah Manuk,LAUK PAUK BAKAR
Kampalo,DJADJANAN
Kapurung,DJADJANAN
Kararabah,DJADJANAN
Katemel,DJADJANAN
Katjang Asin,DJADJANAN
Katjang Atom,DJADJANAN
Katjang Bawang,DJADJANAN
Katjepit Mandi,DJADJANAN
Kejabu,DJADJANAN
Kekiping,DJADJANAN
Kelatak,DJADJANAN
Kelepon,DJADJANAN
Kelepon Singkong,DJADJANAN
Kelepon Ubi Djalar,DJADJANAN
Kelesong,DJADJANAN
Kelentji Si Upik,DJADJANAN
Kembang Gempol,DJADJANAN
Kembang Olang,DJADJANAN
Kembang Patjar,DJADJANAN
Kemplang,DJADJANAN
Keripik Singkong,DJADJANAN
Ketak,DJADJANAN
Ketan Goreng Pisang,DJADJANAN
Ketan Srikaja,DJADJANAN
Ketela Kurma,DJADJANAN
Ketjok Ketan,DJADJANAN
Ketjiput,DJADJANAN
Ketoprak,DJADJANAN
Ketupat Ketan,DJADJANAN
Keladan (Lidah Kuda),DJADJANAN
Klenjem,DJADJANAN
Kletji,DJADJANAN
Kluring,DJADJANAN
Kluwo Singkong,DJADJANAN
Kokole,DJADJANAN
Kolak,DJADJANAN
Kolak Kolang Kaling,DJADJANAN
Kolak Kopur,DJADJANAN
Kolak Labu Merah,DJADJANAN
Kolak Talas,DJADJANAN
Kolak Ubi Djalar,DJADJANAN
Krakeling Bandeng,DJADJANAN
Krasikan,DJADJANAN
Krawon Tjiantel,DJADJANAN
Kroket Djagung,DJADJANAN
Kroket Tempe,DJADJANAN
Krupuk Babi,DJADJANAN
Krupuk Benhur,DJADJANAN
Krupuk Gadung,DJADJANAN
Krupuk Gurih,DJADJANAN
Krupuk Kadarijah,DJADJANAN
Kue Adas,DJADJANAN
Kue Ku,DJADJANAN
Kue Ambon,DJADJANAN
Kue Aneka Rupa,DJADJANAN
Kue Apam Sailan,DJADJANAN
Kue Arai Pinang,DJADJANAN
Kue Asia,DJADJANAN
Kue Asin,DJADJANAN
Kue Bawang,DJADJANAN
Kue Bangket,DJADJANAN
Kue Basung,DJADJANAN
Kue Batang Pohon,DJADJANAN
Kue Bidji Bidji,DJADJANAN
Kue Bidji Nangka,DJADJANAN
Kue Bolu Kukus,DJADJANAN
Kue Buah'an dengan Vla,DJADJANAN
Kue Bunga Mai,DJADJANAN
Kue Chasidah,DJADJANAN
Kue Dadar,DJADJANAN
Kue Daun Daun,DJADJANAN
Kue Delapan Djam,DJADJANAN
Kue Djagung,DJADJANAN
Kue Djae,DJADJANAN
Kue Don,DJADJANAN
Kue Dwiwarna,DJADJANAN
Kue Es Paes,DJADJANAN
Kue Gandus,DJADJANAN
Kue Gapit,DJADJANAN
Kue Gelang,DJADJANAN
Kue Gemblong Kitjak,DJADJANAN
Kue Getas,DJADJANAN
Kue Gula Katjang,DJADJANAN
Kue Gulung,DJADJANAN
Kue Gundjing,DJADJANAN
Kue Havermout,DJADJANAN
Kue Inah,DJADJANAN
Kue Inang Grondol,DJADJANAN
Kue Irian,DJADJANAN
Kue Karang,DJADJANAN
Kue Karud,DJADJANAN
Kue Katen,DJADJANAN
Kue Katjamata,DJADJANAN
Kue Kekok,DJADJANAN
Kue Kelapa,DJADJANAN
Kue Kelapa Parut,DJADJANAN
Kue Kembang Gojang,DJADJANAN
Kue Kenari,DJADJANAN
Kue Kentang,DJADJANAN
Kue Kerak Kering,DJADJANAN
Kue Kering Djagung,DJADJANAN
Kue Ku Ketela,DJADJANAN
Kue Kotji,DJADJANAN
Kue Kulit Kapas,DJADJANAN
Kue Kulit Matjan Tutul,DJADJANAN
Kue Ladu,DJADJANAN
Kue Lampu,DJADJANAN
Kue Lapis,DJADJANAN
Kue Lengkitang,DJADJANAN
Kue Lidah Kutjing,DJADJANAN
Kue Lilin,DJADJANAN
Kue Lopis Djagung,DJADJANAN
Kue Lumpang,DJADJANAN
Kue Lumpur,DJADJANAN
Kue Lunak Lembut,DJADJANAN
Kue Madu Kasirat,DJADJANAN
Kue Mandala,DJADJANAN
Kue Mangkok,DJADJANAN
Kue Marhaen,DJADJANAN
Kue Mata Roda,DJADJANAN
Kue Mendut,DJADJANAN
Kue Mote,DJADJANAN
Kue Nanas,DJADJANAN
Kue Ojong,DJADJANAN
Kue Pakis Beras,DJADJANAN
Kue Panggang Beras,DJADJANAN
Kue Panili,DJADJANAN
Kue Pare,DJADJANAN
Kue Paria,DJADJANAN
Kue Pelangi,DJADJANAN
Kue Pentol,DJADJANAN
Kue Pepe,DJADJANAN
Kue Pilus,DJADJANAN
Kue Pisang,DJADJANAN
Kue Pudak,DJADJANAN
Kue Putu,DJADJANAN
Kue Rinta,DJADJANAN
Kue Rokok Rokok,DJADJANAN
Kue Rodangi,DJADJANAN
Kue Sadu,DJADJANAN
Kue Sapanjana,DJADJANAN
Kue Sakura,DJADJANAN
Kue Sangko,DJADJANAN
Kue Satelit,DJADJANAN
Kue Semprit,DJADJANAN
Kue Sengkulun,DJADJANAN
Kue Serabi Berkuah,DJADJANAN
Kue Siput Siput,DJADJANAN
Kue Sirna,DJADJANAN
Kue Sitrun,DJADJANAN
Kue Sumping,DJADJANAN
Kue Suri,DJADJANAN
Kue Sus,DJADJANAN
Kue Sus Keras,DJADJANAN
Kue Talam,DJADJANAN
Kue Talam Djagung,DJADJANAN
Kue Talam Kentang,DJADJANAN
Kue Talam Serikaja,DJADJANAN
Kue Talam Ubi Djalår,DJADJANAN
Kue Tar,DJADJANAN
Dadar Tahu Saus Tomat,LAUK PAUK GORENGAN
Daging Goreng Ketjap,LAUK PAUK GORENGAN
Dangke,LAUK PAUK GORENGAN
Dendeng Ragi,LAUK PAUK GORENGAN
Dendeng Balado,LAUK PAUK GORENGAN
Djuku Kambu,LAUK PAUK GORENGAN
Empal Pedas,LAUK PAUK GORENGAN
Ento Ento,LAUK PAUK GORENGAN
Gegepuk,LAUK PAUK GORENGAN
Gepukan Daging,LAUK PAUK GORENGAN
Gimbal Udang,LAUK PAUK GORENGAN
